Region,X,Y
1,1,403
1,1,409
1,2,410
1,2,411
1,1,412
1,1,421
1,4,421
1,4,418
1,5,417
1,5,416
1,7,414
1,10,414
1,11,413
1,12,413
1,12,412
1,13,411
1,13,410
1,14,409
1,14,408
1,15,407
1,15,406
1,18,403
1,29,403
1,30,402
1,32,402
1,33,401
1,35,401
1,36,400
1,39,400
1,40,399
1,44,399
1,45,398
1,47,398
1,48,397
1,50,397
1,51,396
1,55,396
1,57,394
1,58,394
1,59,393
1,60,393
1,62,391
1,63,391
1,64,390
1,65,391
1,65,392
1,66,392
1,67,393
1,65,395
1,63,395
1,62,396
1,60,396
1,59,397
1,58,397
1,58,401
1,64,401
1,65,400
1,68,400
1,69,399
1,70,399
1,72,397
1,72,391
1,71,390
1,71,388
1,70,387
1,70,382
1,71,381
1,72,381
1,73,380
1,82,380
1,83,379
1,85,379
1,87,377
1,87,376
1,90,373
1,90,369
1,91,368
1,91,366
1,94,363
1,94,362
1,95,361
1,95,360
1,96,359
1,96,358
1,97,357
1,97,356
1,98,355
1,98,354
1,99,353
1,99,352
1,100,351
1,100,350
1,101,349
1,101,348
1,102,347
1,102,346
1,103,345
1,103,344
1,105,342
1,105,341
1,106,340
1,106,339
1,107,338
1,107,337
1,108,336
1,108,335
1,109,334
1,109,333
1,110,332
1,110,331
1,111,330
1,111,329
1,112,328
1,112,327
1,113,326
1,113,324
1,114,323
1,114,321
1,115,320
1,115,315
1,116,314
1,119,314
1,120,313
1,120,312
1,121,311
1,121,307
1,122,306
1,122,305
1,123,304
1,123,302
1,124,301
1,124,299
1,125,298
1,125,295
1,126,294
1,126,293
1,127,292
1,127,291
1,128,290
1,128,289
1,129,288
1,129,286
1,130,285
1,130,284
1,131,283
1,131,279
1,132,278
1,132,276
1,133,275
1,133,272
1,134,271
1,134,269
1,135,268
1,135,266
1,136,265
1,136,262
1,137,261
1,137,257
1,138,256
1,138,252
1,139,251
1,139,248
1,140,247
1,140,244
1,141,243
1,141,238
1,142,237
1,142,233
1,143,232
1,143,229
1,144,228
1,144,224
1,145,223
1,145,212
1,146,211
1,146,207
1,147,206
1,147,194
1,148,193
1,148,174
1,147,173
1,147,170
1,146,169
1,146,154
1,136,154
1,135,155
1,134,155
1,132,157
1,131,156
1,127,156
1,125,154
1,121,154
1,121,158
1,123,160
1,126,160
1,127,161
1,129,161
1,130,162
1,134,162
1,135,161
1,136,161
1,138,159
1,139,159
1,140,158
1,141,158
1,142,159
1,142,173
1,143,174
1,143,178
1,144,179
1,144,189
1,143,190
1,143,202
1,142,203
1,142,207
1,141,208
1,141,219
1,140,220
1,140,223
1,139,224
1,139,228
1,138,229
1,138,233
1,137,234
1,137,239
1,136,240
1,136,243
1,135,244
1,135,247
1,134,248
1,134,252
1,133,253
1,133,257
1,132,258
1,132,261
1,131,262
1,131,264
1,130,265
1,130,267
1,129,268
1,129,271
1,128,272
1,128,274
1,127,275
1,127,279
1,126,280
1,126,281
1,125,282
1,125,283
1,124,284
1,124,285
1,123,286
1,123,287
1,122,288
1,122,289
1,121,290
1,121,294
1,120,295
1,120,296
1,119,297
1,119,300
1,118,301
1,118,302
1,117,303
1,117,307
1,116,308
1,116,309
1,115,310
1,114,310
1,113,311
1,108,306
1,107,306
1,106,305
1,105,305
1,103,303
1,101,303
1,99,301
1,99,300
1,98,299
1,93,299
1,93,303
1,95,305
1,95,306
1,96,307
1,98,307
1,99,308
1,100,308
1,101,309
1,102,309
1,107,314
1,108,314
1,109,315
1,110,315
1,111,316
1,110,317
1,110,319
1,109,320
1,109,321
1,108,322
1,108,323
1,107,324
1,107,325
1,106,326
1,106,327
1,105,328
1,105,329
1,104,330
1,104,331
1,103,332
1,103,333
1,102,334
1,102,335
1,101,336
1,101,337
1,100,338
1,100,339
1,99,340
1,99,341
1,97,343
1,97,344
1,96,345
1,96,346
1,95,347
1,95,348
1,94,349
1,94,351
1,93,352
1,93,353
1,91,355
1,91,356
1,90,357
1,90,358
1,88,360
1,88,361
1,87,362
1,87,363
1,86,364
1,86,368
1,83,371
1,83,372
1,80,375
1,78,375
1,77,376
1,68,376
1,67,377
1,66,377
1,65,378
1,64,378
1,63,379
1,61,379
1,60,380
1,59,380
1,58,381
1,57,381
1,56,382
1,54,382
1,53,383
1,52,383
1,50,385
1,48,385
1,47,386
1,46,386
1,45,387
1,43,387
1,42,388
1,41,388
1,40,389
1,37,389
1,36,390
1,33,390
1,32,391
1,22,391
1,21,392
1,17,392
1,16,393
1,13,393
1,12,394
1,11,394
1,9,396
1,8,396
2,1,627
2,1,634
2,4,634
2,5,633
2,5,632
2,6,631
2,6,630
2,15,621
2,15,620
2,18,617
2,18,616
2,19,615
2,19,614
2,20,613
2,20,612
2,21,611
2,21,610
2,22,609
2,22,608
2,23,607
2,23,604
2,24,603
2,24,602
2,25,601
2,26,601
2,27,600
2,30,600
2,33,597
2,33,593
2,34,592
2,34,581
2,35,580
2,35,579
2,38,576
2,38,575
2,39,574
2,39,573
2,40,572
2,40,567
2,41,566
2,41,565
2,42,564
2,42,563
2,43,562
2,43,560
2,44,559
2,44,558
2,45,557
2,45,554
2,46,553
2,46,551
2,47,550
2,47,547
2,48,546
2,48,542
2,49,541
2,49,538
2,50,537
2,50,536
2,51,535
2,51,534
2,57,528
2,58,528
2,65,521
2,66,521
2,68,519
2,70,519
2,71,518
2,72,518
2,73,517
2,73,516
2,74,515
2,74,506
2,73,505
2,73,504
2,72,503
2,72,502
2,71,501
2,71,500
2,70,499
2,70,498
2,69,497
2,69,496
2,64,491
2,64,490
2,63,489
2,64,488
2,64,487
2,65,486
2,65,485
2,66,484
2,66,483
2,67,482
2,67,473
2,63,473
2,63,478
2,62,479
2,62,480
2,60,482
2,60,483
2,59,484
2,59,485
2,58,486
2,58,491
2,59,492
2,59,494
2,60,495
2,60,496
2,66,502
2,66,503
2,67,504
2,67,505
2,68,506
2,68,507
2,69,508
2,69,509
2,70,510
2,69,511
2,69,512
2,67,514
2,66,514
2,65,515
2,63,515
2,62,514
2,62,510
2,59,507
2,59,506
2,56,503
2,56,502
2,54,500
2,54,499
2,53,498
2,53,497
2,51,495
2,51,494
2,49,492
2,49,491
2,48,490
2,48,489
2,42,483
2,42,482
2,38,478
2,38,477
2,37,476
2,37,475
2,34,472
2,34,471
2,33,470
2,33,468
2,32,467
2,32,466
2,31,465
2,31,463
2,30,462
2,30,460
2,29,459
2,29,458
2,28,457
2,28,456
2,27,455
2,27,453
2,26,452
2,26,449
2,25,448
2,25,445
2,24,444
2,24,442
2,25,441
2,28,441
2,28,432
2,27,431
2,27,427
2,26,426
2,26,422
2,25,421
2,25,416
2,22,413
2,17,413
2,15,415
2,14,415
2,14,422
2,15,423
2,15,430
2,16,431
2,16,433
2,17,434
2,17,436
2,18,437
2,18,441
2,19,442
2,19,445
2,20,446
2,20,448
2,21,449
2,21,453
2,22,454
2,22,457
2,23,458
2,23,460
2,24,461
2,24,462
2,25,463
2,25,464
2,26,465
2,26,466
2,27,467
2,27,470
2,28,471
2,28,472
2,29,473
2,29,475
2,30,476
2,30,477
2,33,480
2,33,481
2,34,482
2,34,483
2,38,487
2,38,488
2,44,494
2,44,495
2,46,497
2,46,498
2,47,499
2,47,500
2,49,502
2,49,503
2,51,505
2,51,506
2,52,507
2,52,508
2,55,511
2,55,512
2,58,515
2,61,515
2,62,516
2,58,520
2,57,520
2,53,524
2,52,524
2,47,529
2,47,530
2,46,531
2,46,533
2,45,534
2,45,536
2,44,537
2,44,541
2,43,542
2,43,545
2,42,546
2,42,549
2,41,550
2,41,552
2,40,553
2,40,555
2,39,556
2,39,558
2,38,559
2,38,560
2,37,561
2,37,562
2,36,563
2,36,567
2,35,568
2,35,570
2,33,572
2,33,573
2,31,575
2,31,576
2,30,577
2,30,587
2,29,588
2,29,592
2,25,596
2,22,596
2,21,597
2,20,597
2,20,599
2,19,600
2,19,603
2,18,604
2,18,605
2,16,607
2,16,608
2,15,609
2,15,610
2,14,611
2,14,612
2,12,614
2,12,615
2,2,625
2,2,626
3,1,685
3,1,690
3,5,690
3,6,689
3,6,688
3,7,687
3,7,680
3,8,679
3,8,678
3,10,676
3,11,676
3,14,673
3,15,673
3,20,668
3,20,664
3,21,663
3,21,662
3,22,661
3,22,660
3,26,656
3,29,656
3,30,657
3,34,657
3,35,656
3,35,654
3,36,653
3,36,651
3,37,650
3,37,642
3,36,641
3,36,638
3,38,636
3,38,635
3,40,633
3,40,632
3,42,630
3,42,629
3,43,628
3,43,627
3,44,626
3,44,625
3,45,624
3,45,623
3,46,622
3,46,620
3,47,619
3,47,618
3,48,617
3,48,616
3,49,615
3,49,614
3,50,613
3,50,612
3,51,611
3,51,610
3,53,608
3,53,607
3,54,606
3,54,605
3,56,603
3,56,602
3,57,601
3,57,600
3,59,598
3,59,597
3,61,595
3,61,594
3,62,593
3,62,592
3,63,591
3,63,590
3,65,588
3,65,587
3,66,586
3,66,585
3,67,584
3,67,583
3,68,582
3,68,581
3,69,580
3,69,579
3,71,577
3,71,576
3,72,575
3,72,574
3,74,572
3,74,571
3,77,568
3,77,567
3,80,564
3,81,565
3,81,567
3,82,568
3,82,570
3,83,571
3,83,576
3,79,580
3,79,581
3,78,582
3,78,583
3,77,584
3,77,585
3,75,587
3,75,588
3,74,589
3,74,591
3,73,592
3,73,593
3,72,594
3,72,595
3,71,596
3,71,598
3,70,599
3,70,601
3,68,603
3,68,604
3,67,605
3,67,606
3,66,607
3,66,609
3,65,610
3,65,612
3,63,614
3,63,615
3,62,616
3,62,618
3,61,619
3,61,621
3,60,622
3,60,625
3,59,626
3,59,628
3,58,629
3,58,632
3,57,633
3,57,637
3,56,638
3,56,639
3,55,640
3,55,641
3,53,643
3,53,644
3,52,645
3,52,646
3,48,650
3,48,651
3,47,652
3,47,653
3,46,654
3,46,658
3,44,660
3,43,660
3,39,664
3,39,665
3,37,667
3,37,668
3,36,669
3,36,670
3,35,671
3,35,672
3,32,675
3,32,676
3,31,677
3,31,678
3,30,679
3,30,680
3,29,681
3,29,682
3,28,683
3,28,684
3,27,685
3,27,686
3,26,687
3,26,688
3,25,689
3,25,691
3,24,692
3,24,693
3,23,694
3,23,695
3,22,696
3,22,697
3,21,698
3,21,699
3,20,700
3,20,701
3,19,702
3,19,703
3,18,704
3,18,705
3,17,706
3,17,708
3,16,709
3,16,711
3,15,712
3,15,713
3,14,714
3,14,715
3,13,716
3,13,717
3,12,718
3,12,720
3,11,721
3,11,722
3,10,723
3,10,724
3,9,725
3,9,727
3,8,728
3,8,730
3,7,731
3,7,733
3,6,734
3,6,735
3,5,736
3,5,739
3,4,740
3,4,742
3,3,743
3,3,746
3,2,747
3,2,750
3,1,751
3,1,775
3,4,775
3,4,773
3,5,772
3,5,755
3,6,754
3,6,751
3,7,750
3,7,748
3,8,747
3,8,744
3,9,743
3,9,741
3,10,740
3,10,738
3,11,737
3,11,735
3,12,734
3,12,733
3,13,732
3,13,730
3,14,729
3,14,727
3,15,726
3,15,725
3,16,724
3,16,723
3,17,722
3,17,721
3,18,720
3,18,719
3,19,718
3,19,716
3,20,715
3,20,713
3,21,712
3,21,711
3,22,710
3,22,709
3,23,708
3,23,707
3,24,706
3,24,705
3,25,704
3,25,703
3,26,702
3,26,701
3,27,700
3,27,698
3,28,697
3,28,696
3,29,695
3,29,694
3,30,693
3,30,692
